Título,Autor,Editora,Páginas,Formato,Peso,Acabamento,Categoria,Edição,Preço
Não me Faça Contar até Três!: O olhar de uma mãe sobre a disciplina orientada para o coração,Ginger Plowman,Editora Fiel,198,14.00 x 21.00 cm,238.00 g.,Brochura,Vida Cristã,2013,64.90
Nascido Escravo,Martinho Lutero,Editora Fiel,104,14.00 x 21.00 cm,129.00 g.,Brochura,"Doutrina, Biografia",2007,41.10
Nossa Suficiência em Cristo: Três influências letais que minam a sua vida espiritual,John MacArthur,Editora Fiel,224,14.00 x 21.00 cm,281.00 g.,Brochura,"Apologética, Vida Cristã",2007,69.10
Nove Marcas de uma Igreja Saudável,Mark Dever,Editora Fiel,312,14.00 x 21.00 cm,357.00 g.,Brochura,"Ministério, Igreja",2007,76.04
As Crônicas de Olam - Volume 1,L. L. Wurlitzer,TOLK Publicações,544,16.00 x 23.00 cm,746.00 g.,Brochura,"Ficção, Literatura Fantástica",2014,105.10
A Oração Muda as Coisas?,R. C. Sproul,Editora Fiel,112,12.00 x 16.00 cm,98.00 g.,Brochura,"Doutrina, Teologia",2012,27.50
Ouro de Tolo?: Discernindo a verdade em uma época de erro,John MacArthur,Editora Fiel,224,14.00 x 21.00 cm,289.00 g.,Brochura,"Doutrina, Apologética",2006,79.40
Ouse Ser Firme: O livro de Daniel,Stuart Olyott,Editora Fiel,208,14.00 x 21.00 cm,272.00 g.,Brochura,Vida Cristã,2011,61.80
"Pais Fracos, Deus Forte: Criando filhos na graça de Deus","Elyse Fitzpatrick, Jessica Thompson",Editora Fiel,324,14.00 x 21.00 cm,393.00 g.,Brochura,"Vida Cristã, Família",2015,73.00
Uma Palavra aos Moços,John Charles Ryle,Editora Fiel,80,14.00 x 21.00 cm,112.00 g.,Brochura,"Jovens e Adolescentes, Vida Cristã",1994,25.90
Palavras de Amor: A doçura do amor e casamento nas cartas de cristãos,Michael Haykin,Editora Fiel,148,12.00 x 16.00 cm,110.00 g.,Brochura,Vida Cristã,2011,34.25
